,ds,y
245,2023-08-07,224.61
246,2023-08-08,223.57
247,2023-08-09,221.97
248,2023-08-10,222.01
249,2023-08-11,221.8
250,2023-08-12,221.8
251,2023-08-13,221.8
252,2023-08-14,222.9
253,2023-08-15,220.37
254,2023-08-16,218.55
255,2023-08-17,216.76
256,2023-08-18,217.01
257,2023-08-19,217.01
258,2023-08-20,217.01
259,2023-08-21,218.26
260,2023-08-22,217.68
261,2023-08-23,220.06
262,2023-08-24,217.11
263,2023-08-25,218.59
264,2023-08-26,218.59
265,2023-08-27,218.59
266,2023-08-28,219.99
267,2023-08-29,223.19
268,2023-08-30,224.18
269,2023-08-31,223.94
270,2023-09-01,224.68
271,2023-09-02,224.68
272,2023-09-03,224.68
273,2023-09-04,224.68
274,2023-09-05,223.34
275,2023-09-06,221.94
276,2023-09-07,221.18
277,2023-09-08,221.42
278,2023-09-09,221.42
279,2023-09-10,221.42
280,2023-09-11,222.81
281,2023-09-12,221.73
282,2023-09-13,221.76
283,2023-09-14,223.66
284,2023-09-15,221.03
285,2023-09-16,221.03
286,2023-09-17,221.03
287,2023-09-18,221.05
288,2023-09-19,220.49
289,2023-09-20,218.54
290,2023-09-21,214.09
291,2023-09-22,213.64
292,2023-09-23,213.64
293,2023-09-24,213.64
294,2023-09-25,214.5
295,2023-09-26,211.41
296,2023-09-27,211.63
297,2023-09-28,213.03
298,2023-09-29,212.41
299,2023-09-30,212.41
300,2023-10-01,212.41
301,2023-10-02,212.13
302,2023-10-03,209.05
303,2023-10-04,210.56
304,2023-10-05,210.45
305,2023-10-06,212.96
306,2023-10-07,212.96
307,2023-10-08,212.96
308,2023-10-09,214.3
309,2023-10-10,215.63
310,2023-10-11,216.48
311,2023-10-12,214.74
312,2023-10-13,213.53
313,2023-10-14,213.53
314,2023-10-15,213.53
315,2023-10-16,216.01
316,2023-10-17,216.29
317,2023-10-18,213.09
318,2023-10-19,211.08
319,2023-10-20,208.47
320,2023-10-21,208.47
321,2023-10-22,208.47
322,2023-10-23,207.9
323,2023-10-24,209.47
324,2023-10-25,206.36
325,2023-10-26,204.22
326,2023-10-27,203.12
327,2023-10-28,203.12
328,2023-10-29,203.12
329,2023-10-30,205.46
330,2023-10-31,206.79
331,2023-11-01,208.86
332,2023-11-02,213.01
333,2023-11-03,215.41
334,2023-11-04,215.41
335,2023-11-05,215.41
336,2023-11-06,215.5
337,2023-11-07,216.14
338,2023-11-08,216.11
339,2023-11-09,214.27
340,2023-11-10,217.46
341,2023-11-11,217.46
