,ds,y
228,2023-07-21,29940.0
229,2023-07-22,29821.0
230,2023-07-23,30081.61
231,2023-07-24,29176.98
232,2023-07-25,29225.14
233,2023-07-26,29353.23
234,2023-07-27,29214.92
235,2023-07-28,29316.15
236,2023-07-29,29355.71
237,2023-07-30,29281.39
238,2023-07-31,29230.67
239,2023-08-01,29697.27
240,2023-08-02,29164.22
241,2023-08-03,29174.18
242,2023-08-04,29076.48
243,2023-08-05,29047.1
244,2023-08-06,29040.01
245,2023-08-07,29179.21
246,2023-08-08,29770.01
247,2023-08-09,29562.76
248,2023-08-10,29424.03
249,2023-08-11,29400.45
250,2023-08-12,29416.96
251,2023-08-13,29275.94
252,2023-08-14,29405.49
253,2023-08-15,29170.14
254,2023-08-16,28700.51
255,2023-08-17,26627.57
256,2023-08-18,26048.89
257,2023-08-19,26096.42
258,2023-08-20,26189.14
259,2023-08-21,26125.18
260,2023-08-22,26040.4
261,2023-08-23,26427.54
262,2023-08-24,26163.49
263,2023-08-25,26049.8
264,2023-08-26,26009.61
265,2023-08-27,26091.16
266,2023-08-28,26109.6
267,2023-08-29,27717.98
268,2023-08-30,27306.06
269,2023-08-31,25932.45
270,2023-09-01,25794.88
271,2023-09-02,25869.7
272,2023-09-03,25969.83
273,2023-09-04,25816.13
274,2023-09-05,25783.91
275,2023-09-06,25747.63
276,2023-09-07,26276.3
277,2023-09-08,25906.34
278,2023-09-09,25891.3
279,2023-09-10,25831.76
280,2023-09-11,25152.14
281,2023-09-12,25840.61
282,2023-09-13,26226.65
283,2023-09-14,26532.76
284,2023-09-15,26602.42
285,2023-09-16,26569.69
286,2023-09-17,26530.95
287,2023-09-18,26764.49
288,2023-09-19,27216.13
289,2023-09-20,27123.94
290,2023-09-21,26567.6
291,2023-09-22,26578.4
292,2023-09-23,26579.6
293,2023-09-24,26250.24
294,2023-09-25,26296.08
295,2023-09-26,26208.44
296,2023-09-27,26359.9
297,2023-09-28,27027.14
298,2023-09-29,26907.0
299,2023-09-30,26961.0
300,2023-10-01,27995.46
301,2023-10-02,27504.04
302,2023-10-03,27428.96
303,2023-10-04,27786.75
304,2023-10-05,27413.8
305,2023-10-06,27945.17
306,2023-10-07,27976.43
307,2023-10-08,27933.55
308,2023-10-09,27596.67
309,2023-10-10,27393.29
310,2023-10-11,26869.19
311,2023-10-12,26750.51
312,2023-10-13,26867.9
313,2023-10-14,26851.71
314,2023-10-15,27186.13
315,2023-10-16,28520.24
316,2023-10-17,28410.0
317,2023-10-18,28326.51
318,2023-10-19,28726.9
319,2023-10-20,29684.73
320,2023-10-21,29924.84
321,2023-10-22,30004.15
322,2023-10-23,33087.58
323,2023-10-24,33922.52
324,2023-10-25,34506.35
325,2023-10-26,34154.71
326,2023-10-27,33906.09
327,2023-10-28,34085.42
328,2023-10-29,34534.48
329,2023-10-30,34493.79
330,2023-10-31,34656.4
331,2023-11-01,35440.1
332,2023-11-02,34950.0
333,2023-11-03,34731.27
334,2023-11-04,35090.3
335,2023-11-05,35035.42
336,2023-11-06,35059.46
337,2023-11-07,35416.28
338,2023-11-08,35639.13
339,2023-11-09,36706.59
340,2023-11-10,37301.0
341,2023-11-11,37139.12
342,2023-11-12,37086.03
343,2023-11-13,36494.1
344,2023-11-14,35554.09
345,2023-11-15,37885.35
346,2023-11-16,36161.15
347,2023-11-17,36625.0
348,2023-11-18,36594.89
349,2023-11-19,37391.19
350,2023-11-20,37475.64
351,2023-11-21,35751.89
352,2023-11-22,37424.31
353,2023-11-23,37300.9
354,2023-11-24,37745.84
355,2023-11-25,37805.99
356,2023-11-26,37462.79
357,2023-11-27,37241.63
358,2023-11-28,37838.26
359,2023-11-29,37863.84
360,2023-11-30,37732.27
361,2023-12-01,38703.54
362,2023-12-02,39478.95
363,2023-12-03,39984.81
364,2023-12-04,41987.24
365,2023-12-05,44084.39
366,2023-12-06,43761.7
367,2023-12-07,43280.95
368,2023-12-08,44192.87
369,2023-12-09,43723.25
370,2023-12-10,43793.68
371,2023-12-11,41229.61
372,2023-12-12,41477.39
373,2023-12-13,42885.54
374,2023-12-14,43027.77
375,2023-12-15,41933.89
376,2023-12-16,42237.29
377,2023-12-17,41349.59
378,2023-12-18,42650.01
379,2023-12-19,42266.22
380,2023-12-20,43674.77
381,2023-12-21,43875.32
382,2023-12-22,44013.73
383,2023-12-23,43726.35
384,2023-12-24,43025.03
385,2023-12-25,43589.67
386,2023-12-26,42515.53
387,2023-12-27,43474.4
388,2023-12-28,42581.23
389,2023-12-29,42063.45
390,2023-12-30,42141.03
391,2023-12-31,42288.06
392,2024-01-01,44220.78
393,2024-01-02,44972.8
394,2024-01-03,42862.44
395,2024-01-04,44193.29
396,2024-01-05,44186.59
397,2024-01-06,44018.0
398,2024-01-07,43959.0
399,2024-01-08,46995.1
400,2024-01-09,46124.08
401,2024-01-10,46666.11
402,2024-01-11,46350.4
403,2024-01-12,42773.03
404,2024-01-13,42839.33
405,2024-01-14,41697.33
406,2024-01-15,42520.0
407,2024-01-16,43130.45
408,2024-01-17,42739.49
409,2024-01-18,41293.5
410,2024-01-19,41624.07
411,2024-01-20,41666.67
412,2024-01-21,41554.05
413,2024-01-22,39524.27
414,2024-01-23,39878.3
415,2024-01-24,40069.8
416,2024-01-25,39941.66
417,2024-01-26,41814.8
418,2024-01-27,42126.55
419,2024-01-28,42034.59
420,2024-01-29,43269.5
421,2024-01-30,42942.78
422,2024-01-31,42548.08
423,2024-02-01,43075.2
424,2024-02-02,43181.66
425,2024-02-03,43010.67
426,2024-02-04,42568.55
427,2024-02-05,42657.67
428,2024-02-06,43095.79
429,2024-02-07,44343.61
430,2024-02-08,45329.6
431,2024-02-09,47160.41
432,2024-02-10,47767.06
433,2024-02-11,48316.3
434,2024-02-12,49941.81
435,2024-02-13,49725.36
436,2024-02-14,51858.59
437,2024-02-15,51934.29
438,2024-02-16,52162.64
439,2024-02-17,51700.0
440,2024-02-18,52153.63
441,2024-02-19,51787.05
442,2024-02-20,52167.0
443,2024-02-21,51851.67
444,2024-02-22,51258.7
445,2024-02-23,50737.0
446,2024-02-24,51570.65
447,2024-02-25,51731.0
448,2024-02-26,54533.48
449,2024-02-27,57077.07
450,2024-02-28,62518.9
451,2024-02-29,61180.9
452,2024-03-01,62436.72
453,2024-03-02,62045.78
454,2024-03-03,63178.2
455,2024-03-04,68098.0
456,2024-03-05,63800.78
457,2024-03-06,66122.28
458,2024-03-07,66938.21
459,2024-03-08,68289.16
460,2024-03-09,68480.0
461,2024-03-10,68951.0
462,2024-03-11,72110.98
463,2024-03-12,71475.93
464,2024-03-13,73135.04
465,2024-03-14,71364.58
466,2024-03-15,69520.0
467,2024-03-16,65254.22
468,2024-03-17,68343.64
469,2024-03-18,67613.04
470,2024-03-19,61906.27
471,2024-03-20,67858.8
472,2024-03-21,65484.7
473,2024-03-22,63814.56
474,2024-03-23,63998.86
475,2024-03-24,67204.93
476,2024-03-25,69890.28
477,2024-03-26,70000.1
478,2024-03-27,69437.3
479,2024-03-28,70801.18
480,2024-03-29,69903.75
481,2024-03-30,69626.87
482,2024-03-31,71288.9
483,2024-04-01,69681.1
484,2024-04-02,65464.14
485,2024-04-03,65987.92
486,2024-04-04,68527.4
487,2024-04-05,67856.51
488,2024-04-06,68919.89
489,2024-04-07,69350.34
490,2024-04-08,71622.53
491,2024-04-09,69117.01
492,2024-04-10,70634.04
493,2024-04-11,70046.4
494,2024-04-12,67148.61
495,2024-04-13,64024.77
496,2024-04-14,65777.05
497,2024-04-15,63452.18
498,2024-04-16,63814.94
499,2024-04-17,61279.36
500,2024-04-18,63513.85
501,2024-04-19,63848.37
502,2024-04-20,64968.87
503,2024-04-21,64952.92
504,2024-04-22,66859.17
505,2024-04-23,66414.16
506,2024-04-24,64255.78
507,2024-04-25,64484.44
508,2024-04-26,63742.39
509,2024-04-27,63425.0
510,2024-04-28,63108.94
511,2024-04-29,63844.85
512,2024-04-30,60622.1
513,2024-05-01,58265.59
514,2024-05-02,59071.89
515,2024-05-03,62913.03
516,2024-05-04,63902.88
517,2024-05-05,64023.45
518,2024-05-06,63162.24
519,2024-05-07,62315.76
520,2024-05-08,61169.53
521,2024-05-09,63073.57
522,2024-05-10,60787.47
523,2024-05-11,60805.0
524,2024-05-12,61453.02
525,2024-05-13,62932.37
526,2024-05-14,61539.84
527,2024-05-15,66244.69
528,2024-05-16,65252.18
529,2024-05-17,67046.33
530,2024-05-18,66923.87
531,2024-05-19,66262.4
532,2024-05-20,71432.17
533,2024-05-21,70145.1
534,2024-05-22,69109.93
535,2024-05-23,67940.45
536,2024-05-24,68547.8
537,2024-05-25,69289.67
538,2024-05-26,68473.72
539,2024-05-27,69368.72
540,2024-05-28,68321.98
541,2024-05-29,67569.45
542,2024-05-30,68338.58
543,2024-05-31,67472.41
544,2024-06-01,67719.29
545,2024-06-02,67735.52
546,2024-06-03,68791.0
547,2024-06-04,70542.32
548,2024-06-05,71121.11
549,2024-06-06,70773.64
550,2024-06-07,69394.0
551,2024-06-08,69304.05
552,2024-06-09,69649.9
553,2024-06-10,69497.73
554,2024-06-11,67316.53
555,2024-06-12,68248.6
556,2024-06-13,66756.5
557,2024-06-14,66004.39
558,2024-06-15,66192.0
559,2024-06-16,66628.75
560,2024-06-17,66481.81
561,2024-06-18,65152.8
562,2024-06-19,64943.79
563,2024-06-20,64840.88
564,2024-06-21,64087.9
565,2024-06-22,64235.01
566,2024-06-23,63171.43
567,2024-06-24,60263.0
568,2024-06-25,61789.71
569,2024-06-26,60815.1
570,2024-06-27,61615.39
571,2024-06-28,60313.35
572,2024-06-29,60860.0
573,2024-06-30,62668.26
574,2024-07-01,62830.13
575,2024-07-02,62040.22
576,2024-07-03,60145.01
577,2024-07-04,57042.14
578,2024-07-05,56639.43
579,2024-07-06,58244.75
580,2024-07-07,55854.09
581,2024-07-08,56699.3
582,2024-07-09,58047.86
583,2024-07-10,57712.59
584,2024-07-11,57340.77
585,2024-07-12,57909.03
586,2024-07-13,59224.58
587,2024-07-14,60808.42
588,2024-07-15,64757.16
589,2024-07-16,65088.99
590,2024-07-17,64085.81
591,2024-07-18,63982.86
592,2024-07-19,66707.61
593,2024-07-20,67163.83
594,2024-07-21,68181.28
595,2024-07-22,67558.22
596,2024-07-23,65939.24
597,2024-07-24,65366.4
598,2024-07-25,65795.42
599,2024-07-26,67924.08
600,2024-07-27,67899.41
601,2024-07-28,68244.3
602,2024-07-29,66771.45
603,2024-07-30,66169.68
604,2024-07-31,64609.62
605,2024-08-01,65288.18
606,2024-08-02,61418.06
607,2024-08-03,60674.93
608,2024-08-04,58130.95
609,2024-08-05,54029.12
610,2024-08-06,56048.08
611,2024-08-07,55148.1
612,2024-08-08,61705.58
613,2024-08-09,60862.13
614,2024-08-10,60935.02
615,2024-08-11,58722.49
616,2024-08-12,59358.78
617,2024-08-13,60603.19
618,2024-08-14,58690.62
619,2024-08-15,57543.61
620,2024-08-16,58888.99
621,2024-08-17,59497.49
622,2024-08-18,58466.5
623,2024-08-19,59452.67
624,2024-08-20,59017.59
625,2024-08-21,61163.28
626,2024-08-22,60383.29
627,2024-08-23,64087.4
628,2024-08-24,64179.63
629,2024-08-25,64251.93
630,2024-08-26,62966.0
631,2024-08-27,59439.64
632,2024-08-28,59045.88
633,2024-08-29,59385.5
634,2024-08-30,59112.77
635,2024-08-31,58968.37
636,2024-09-01,57299.0
637,2024-09-02,59139.83
638,2024-09-03,57468.84
639,2024-09-04,57971.0
640,2024-09-05,56156.82
641,2024-09-06,53950.01
642,2024-09-07,54156.33
643,2024-09-08,54881.11
644,2024-09-09,57053.9
645,2024-09-10,57645.59
646,2024-09-11,57352.79
647,2024-09-12,58287.0
648,2024-09-13,60581.0
649,2024-09-14,60000.1
650,2024-09-15,59135.1
651,2024-09-16,58342.0
652,2024-09-17,60317.2
653,2024-09-18,61853.0
654,2024-09-19,62960.14
655,2024-09-20,63210.69
656,2024-09-21,63362.74
657,2024-09-22,63577.66
658,2024-09-23,63338.87
659,2024-09-24,64272.93
660,2024-09-25,63130.89
661,2024-09-26,65177.21
662,2024-09-27,65789.0
663,2024-09-28,65858.99
664,2024-09-29,65600.01
665,2024-09-30,63301.25
666,2024-10-01,60790.0
667,2024-10-02,60631.37
668,2024-10-03,60744.99
669,2024-10-04,62090.71
670,2024-10-05,62051.29
671,2024-10-06,62810.86
672,2024-10-07,62202.02
673,2024-10-08,62122.02
674,2024-10-09,60578.28
675,2024-10-10,60279.53
676,2024-10-11,62518.75
677,2024-10-12,63187.46
678,2024-10-13,62845.3
679,2024-10-14,66065.65
680,2024-10-15,67056.6
681,2024-10-16,67608.44
682,2024-10-17,67402.33
683,2024-10-18,68426.11
684,2024-10-19,68363.73
685,2024-10-20,69014.86
686,2024-10-21,67346.15
687,2024-10-22,67387.6
688,2024-10-23,66601.11
689,2024-10-24,68156.84
690,2024-10-25,66564.51
691,2024-10-26,67012.56
692,2024-10-27,67943.19
693,2024-10-28,69924.5
694,2024-10-29,72724.35
695,2024-10-30,72322.91
696,2024-10-31,70197.83
697,2024-11-01,69467.29
698,2024-11-02,69358.94
699,2024-11-03,68738.18
700,2024-11-04,67807.48
701,2024-11-05,69380.73
702,2024-11-06,75646.55
703,2024-11-07,75920.0
704,2024-11-08,76566.73
705,2024-11-09,76728.3
706,2024-11-10,80428.92
707,2024-11-11,88770.73
708,2024-11-12,87932.0
709,2024-11-13,90493.82
710,2024-11-14,87340.4
711,2024-11-15,91058.36
712,2024-11-16,90555.1
713,2024-11-17,89866.85
714,2024-11-18,90532.0
715,2024-11-19,92341.07
716,2024-11-20,94359.04
