,TPM_value,TPM_var,TDES_value,TDES_var,IPC_value,IPC_var,PIB_value,PIB_var,BC_value,BC_var
2022-12-30,4.33,0.0,3.4064516129032256,-0.095,300256.3870967742,0.017,27255984.760869566,0.015,-70011.74193548386,-0.037
2022-12-31,4.33,0.0,3.403225806451613,-0.095,300306.1935483871,0.017,27260204.88043478,0.015,-69985.87096774194,-0.037
2023-01-01,4.33,0.0,3.4,-0.095,300356.0,0.017,27264425.0,0.015,-69960.0,-0.037
2023-01-02,4.33,0.0,3.4064516129032256,0.19,300393.1935483871,0.012,27267693.02222222,0.012,-69978.09677419355,0.026
2023-01-03,4.33,0.0,3.4129032258064513,0.189,300430.3870967742,0.012,27270961.044444446,0.012,-69996.19354838709,0.026
2023-01-04,4.33,0.0,3.4193548387096775,0.189,300467.5806451613,0.012,27274229.066666666,0.012,-70014.29032258065,0.026
2023-01-05,4.33,0.0,3.425806451612903,0.189,300504.77419354836,0.012,27277497.088888887,0.012,-70032.3870967742,0.026
2023-01-06,4.33,0.0,3.432258064516129,0.188,300541.96774193546,0.012,27280765.111111112,0.012,-70050.48387096774,0.026
2023-01-07,4.33,0.0,3.4387096774193546,0.188,300579.1612903226,0.012,27284033.133333333,0.012,-70068.58064516129,0.026
2023-01-08,4.33,0.0,3.445161290322581,0.188,300616.3548387097,0.012,27287301.155555554,0.012,-70086.67741935483,0.026
2023-01-09,4.33,0.0,3.4516129032258065,0.187,300653.5483870968,0.012,27290569.17777778,0.012,-70104.7741935484,0.026
2023-01-10,4.33,0.0,3.458064516129032,0.187,300690.7419354839,0.012,27293837.2,0.012,-70122.87096774194,0.026
2023-01-11,4.33,0.0,3.464516129032258,0.187,300727.93548387097,0.012,27297105.222222224,0.012,-70140.96774193548,0.026
2023-01-12,4.33,0.0,3.4709677419354836,0.186,300765.12903225806,0.012,27300373.244444445,0.012,-70159.06451612903,0.026
2023-01-13,4.33,0.0,3.47741935483871,0.186,300802.32258064515,0.012,27303641.266666666,0.012,-70177.16129032258,0.026
2023-01-14,4.33,0.0,3.4838709677419355,0.186,300839.51612903224,0.012,27306909.28888889,0.012,-70195.25806451614,0.026
2023-01-15,4.33,0.0,3.490322580645161,0.185,300876.70967741933,0.012,27310177.31111111,0.012,-70213.35483870968,0.026
2023-01-16,4.33,0.0,3.496774193548387,0.185,300913.9032258064,0.012,27313445.333333332,0.012,-70231.45161290323,0.026
2023-01-17,4.33,0.0,3.503225806451613,0.185,300951.0967741936,0.012,27316713.355555557,0.012,-70249.54838709677,0.026
2023-01-18,4.33,0.0,3.509677419354839,0.184,300988.29032258067,0.012,27319981.377777778,0.012,-70267.64516129032,0.026
2023-01-19,4.33,0.0,3.5161290322580645,0.184,301025.48387096776,0.012,27323249.4,0.012,-70285.74193548386,0.026
