,v,vw,o,c,h,l,t,n
23,20931.848642518184,16698.9695,16634.29,16782.25,16811.0,16576.6,1671235200000,429226
24,12563.676320723323,16744.5757,16782.23,16755.0,16875.0,16663.76,1671321600000,331649
25,31741.049191817187,16620.6619,16742.33,16439.74,16825.0,16260.2,1671408000000,507903
26,38914.54982899785,16801.8804,16441.4,16897.65,17067.8,16398.22,1671494400000,572562
27,19284.148062710745,16822.4314,16896.17,16826.56,16934.0,16725.78,1671580800000,376803
28,24104.199055501005,16742.4829,16825.18,16815.51,16873.0,16560.84,1671667200000,468833
29,24465.129265822034,16822.7429,16815.28,16777.21,16966.0,16719.57,1671753600000,406393
30,10837.752436432624,16830.1669,16777.88,16837.12,16891.0,16775.88,1671840000000,273040
31,8138.782249671595,16806.852,16836.7,16829.02,16874.0,16720.89,1671926400000,243876
32,10095.381330383025,16849.6712,16824.9,16917.96,16963.0,16787.97,1672012800000,267912
33,20355.204976375833,16767.1797,16914.5,16698.73,16987.0,16585.97,1672099200000,407636
34,27182.73674064083,16611.2827,16698.0,16539.66,16797.0,16444.0,1672185600000,516503
35,21906.234727084062,16587.3451,16541.6,16628.8,16675.0,16479.5,1672272000000,452598
36,29820.335329194386,16524.6611,16628.9,16600.1,16683.9,16325.2,1672358400000,497479
37,17861.131907746094,16558.452,16600.0,16530.35,16664.0,16462.49,1672444800000,334945
38,12300.315533316923,16549.5494,16531.83,16611.58,16644.0,16490.0,1672531200000,292354
39,15129.289550399431,16692.5104,16615.0,16666.95,16803.0,16542.52,1672617600000,358299
40,21204.298955484002,16680.0394,16668.3,16669.47,16810.0,16599.6,1672704000000,376204
41,29360.12636253107,16835.9876,16669.7,16844.42,17008.0,16645.87,1672790400000,512889
42,16945.68975941772,16826.2924,16849.3,16825.69,16888.0,16750.07,1672876800000,387550
43,28246.529401696687,16840.0521,16825.7,16948.06,17200.0,16670.82,1672963200000,475711
44,6569.5374952721295,16935.4521,16951.1,16942.37,16990.0,16903.58,1673049600000,229424
45,11138.691164274247,16971.7084,16945.1,17125.18,17181.0,16910.41,1673136000000,299555
46,37477.75170253636,17244.7501,17141.0,17177.98,17400.0,17102.97,1673222400000,651146
47,28242.02997776544,17313.5673,17177.94,17443.5,17506.0,17145.1,1673308800000,567001
48,32757.552109634405,17518.7719,17443.5,17944.27,18009.0,17308.8,1673395200000,593084
49,73373.3833279598,18384.1038,17953.0,18847.75,19115.85,17866.0,1673481600000,1020354
50,62714.997723952554,19233.7159,18847.77,19934.88,20000.0,18714.8,1673568000000,914811
51,70029.19199789544,20771.8989,19934.07,20957.02,21400.0,19893.25,1673654400000,1189155
52,28804.67958792528,20787.748,20956.2,20879.7,21066.9,20527.3,1673740800000,660406
53,47685.398378917234,21063.1342,20879.67,21197.0,21484.9,20611.45,1673827200000,769871
54,37937.17331418214,21223.3602,21191.46,21136.33,21679.1,20844.73,1673913600000,578913
55,45307.07253983381,21029.8077,21135.01,20674.29,21650.21,20370.01,1674000000000,746647
56,26934.189112995628,20886.6166,20674.03,21084.22,21207.0,20656.52,1674086400000,523776
57,40199.20858888944,21580.1896,21084.05,22669.81,22754.73,20856.0,1674172800000,751748
58,41746.54114641917,22922.0553,22670.0,22789.37,23428.6,22427.0,1674259200000,748168
59,30181.28829905608,22780.4871,22789.34,22714.87,23108.5,22298.15,1674345600000,590184
60,37256.266090320954,22849.2555,22714.81,22920.29,23180.55,22497.0,1674432000000,578321
61,44134.956680995376,22918.875,22920.67,22633.8,23165.56,22437.0,1674518400000,674619
62,47259.84480851867,22821.1929,22636.0,23062.36,23829.3,22320.0,1674604800000,641338
63,35345.7248661083,23065.9574,23054.0,23010.47,23293.3,22853.0,1674691200000,510196
64,32852.829185457995,23016.7165,23011.37,23084.4,23511.9,22492.8,1674777600000,526090
65,9878.719728223237,23016.0981,23084.38,23028.95,23196.99,22876.0,1674864000000,335976
66,28581.721848748643,23522.9894,23029.56,23745.8,23966.0,22974.75,1674950400000,648501
67,41222.80662548693,23155.3931,23744.34,22836.03,23802.99,22500.0,1675036800000,819271
68,27148.271556123087,23006.603,22836.03,23128.86,23317.9,22719.68,1675123200000,582030
69,26517.182865347102,23209.2363,23127.15,23732.6,23814.0,22753.6,1675209600000,552241
70,24676.16173020268,23840.2614,23735.3,23493.84,24282.1,23367.87,1675296000000,530896
71,19222.84825465529,23460.7852,23497.29,23433.54,23722.0,23208.01,1675382400000,436802
72,5685.312410012582,23399.7854,23433.47,23327.3,23589.8,23248.0,1675468800000,268906
73,10351.179141480836,23063.9107,23329.47,22936.34,23433.2,22758.01,1675555200000,303929
74,16311.523420832384,22897.3536,22936.34,22764.07,23163.05,22599.9,1675641600000,297980
75,13504.322780866576,23034.0546,22763.42,23244.67,23350.0,22742.0,1675728000000,329647
76,11378.222907518755,23028.7221,23244.64,22964.38,23451.01,22669.09,1675814400000,317608
77,27013.921815973008,22346.6217,22963.91,21800.63,23011.18,21700.0,1675900800000,488727
78,16881.11484414792,21739.4316,21800.62,21628.97,21942.41,21467.43,1675987200000,364109
79,6401.988544660282,21723.7859,21638.2,21863.73,21909.8,21605.35,1676073600000,219030
80,8364.02511172997,21879.7445,21863.73,21789.8,22099.9,21631.0,1676160000000,241762
81,18835.595268282505,21639.6592,21793.0,21789.14,21905.0,21354.0,1676246400000,323242
82,19006.534445122405,21970.395,21789.0,22206.27,22339.0,21505.0,1676332800000,363818
83,31402.045610658723,23270.7102,22206.26,24329.04,24393.0,22038.5,1676419200000,497617
84,41101.59775243664,24567.4712,24325.0,23521.5,25275.7,23500.0,1676505600000,583765
85,32253.073363221676,24165.4398,23525.0,24577.6,25025.0,23340.4,1676592000000,501789
86,8065.40906352316,24629.5035,24577.6,24636.23,24879.33,24407.67,1676678400000,262102
87,15201.75611898101,24674.8324,24635.85,24281.31,25209.0,24178.3,1676764800000,329288
88,19651.801612299885,24669.8534,24278.81,24844.97,25128.11,23841.08,1676851200000,475409
89,25653.493935538558,24658.1258,24844.21,24454.43,25288.88,24153.96,1676937600000,541002
90,25684.691045328484,23972.7243,24466.0,24184.44,24485.0,23578.0,1677024000000,499508
91,24366.147315058763,24072.9033,24184.9,23943.32,24602.8,23612.59,1677110400000,470569
92,28480.65714200921,23430.3802,23943.32,23186.88,24150.0,22520.0,1677196800000,482098
93,8962.125842921549,23024.5265,23186.88,23159.71,23224.9,22716.47,1677283200000,279155
94,9519.063816471218,23382.9591,23159.71,23556.83,23689.77,23052.78,1677369600000,267084
